amount_of_players;round_result;MO;bank;real_x
25;226.19;2.0;232.67;1.62
23;191.36;1.6;218.39;1.73
25;33.6;1.65;57.07;3.0
23;-124.83;2.1;207.92;1.56
22;258.97;1.975;291.61;2.67
18;-4.39;2.12;315.32;1.09
19;81.36;1.95;85.83;3.0
22;-108.95;2.1;74.99;1.49
18;41.88;2.025;64.79;3.0
18;-34.82;2.133;32.3;1.02
22;118.53;2.02;118.53;1.01
23;206.15;1.927;206.15;3.0
20;-58.89;2.017;157.58;1.04
19;118.87;1.938;133.62;1.52
22;188.47;1.907;233.05;1.71
16;2.95;1.893;38.91;3.0
19;-37.42;1.963;64.17;2.37
16;7.61;1.988;91.41;3.0
17;25.16;2.044;64.52;1.55
18;24.04;2.021;52.0;2.84
17;-168.23;2.06;120.78;1.02
23;80.24;2.01;89.86;1.2
23;58.28;1.973;96.65;3.0
21;-120.91;2.017;66.57;3.0
23;-119.09;2.058;141.79;1.02
20;50.99;2.016;50.99;1.37
18;440.88;1.992;501.98;2.98
19;-25.0;2.03;43.7;3.0
20;-59.41;2.064;210.95;2.58
23;110.76;2.083;145.91;1.0
16;41.08;2.047;41.08;1.02
19;128.37;2.013;128.37;1.34
16;34.61;1.991;46.94;3.0
18;-49.52;2.021;144.62;1.0
20;680.53;1.991;680.53;3.0
19;-46.06;2.02;101.9;3.0
21;-339.96;2.047;212.48;3.0
18;-50.53;2.073;47.76;1.0
18;109.98;2.045;109.98;3.0
18;-85.88;2.069;52.86;2.28
16;2.6;2.075;32.49;2.83
22;-5.32;2.093;103.67;1.3
22;168.42;2.074;206.05;3.0
19;-332.55;2.095;367.72;1.97
19;44.05;2.093;60.99;3.0
20;-82.07;2.113;89.57;1.37
21;151.64;2.098;154.44;1.05
23;113.29;2.077;116.82;2.25
19;8.96;2.079;42.42;1.04
16;256.39;2.057;256.39;2.02
24;-11.97;2.056;108.59;1.09
16;37.08;2.037;372.23;1.56
17;-15.17;2.029;69.55;2.08
21;175.53;2.03;234.48;1.03
17;159.04;2.011;159.72;1.33
18;78.2;1.998;180.34;1.36
22;579.01;1.987;589.03;1.1
23;213.24;1.972;223.59;1.24
25;86.56;1.959;252.03;1.02
21;85.49;1.942;95.42;1.0
22;43.89;1.927;43.89;2.99
23;-228.22;1.944;219.61;1.03
21;63.98;1.929;63.98;2.09
22;-62.38;1.932;204.61;1.56
24;51.56;1.927;168.7;1.06
22;60.3;1.914;71.18;2.14
17;56.57;1.917;94.21;3.0
20;-693.58;1.933;443.97;2.2
21;-13.7;1.937;62.47;1.0
22;475.61;1.923;475.61;3.0
22;-237.95;1.939;288.2;1.25
18;73.22;1.928;85.79;3.0
22;-267.17;1.943;182.48;3.0
17;-414.82;1.958;414.56;3.0
19;-45.77;1.972;39.53;1.04
16;40.24;1.959;40.24;3.0
16;-67.95;1.972;72.17;3.0
16;-92.43;1.986;261.61;3.0
17;-229.03;1.999;177.03;3.0
22;-75.3;2.011;73.42;3.0
21;-86.08;2.024;75.12;2.65
21;-7.88;2.031;77.56;3.0
23;-217.79;2.043;229.9;3.0
16;-10.67;2.054;13.71;1.0
16;60.09;2.042;60.09;2.63
22;-20.25;2.048;71.02;1.56
25;-16.42;2.043;332.48;1.41
23;72.39;2.036;80.37;1.04
17;124.24;2.024;136.48;3.0
21;-177.96;2.035;164.08;3.0
25;-111.41;2.046;114.65;3.0
21;-96.43;2.056;70.39;3.0
20;-56.51;2.066;57.82;1.0
21;212.43;2.055;212.43;2.93
20;9.55;2.064;30.63;1.42
22;155.24;2.057;164.85;1.85
20;23.95;2.055;41.41;1.04
21;87.95;2.044;87.95;1.17
21;89.87;2.036;91.89;1.86
19;5.36;2.034;41.38;2.23
19;238.61;2.036;271.94;2.5
25;-33.38;2.041;78.43;1.02
19;425.3;2.03;427.22;3.0
20;-52.05;2.04;124.23;3.0
23;-91.69;2.049;73.74;1.0
16;135.26;2.039;135.26;1.24
21;40.01;2.031;53.92;1.56
20;201.35;2.027;241.85;1.66
20;26.14;2.024;69.45;3.0
19;-391.73;2.033;647.76;3.0
24;-217.08;2.042;251.96;1.19
16;126.52;2.034;161.99;1.26
16;33.24;2.028;45.13;1.07
23;206.11;2.019;214.65;1.69
19;7.03;2.017;69.0;1.07
19;43.03;2.009;43.03;3.0
24;-90.84;2.017;72.97;1.05
16;48.56;2.009;48.56;3.0
20;-55.44;2.018;67.3;1.05
