amount_players;round_result;MO;bank;timee;wkday;coeff
23.0;-20.71;0;50.35;1716209046.07;1;3.0
18.0;52.97;3.0;117.89;1716209105.64;1;1.11
18.0;52.02;2.05;129.88;1716209228.18;1;1.56
22.0;-35.86;1.9;71.5;1716209261.92;1;3.0
18.0;176.21;2.175;176.21;1716209276.77;1;1.02
19.0;28.66;1.94;72.86;1716209298.8;1;1.74
23.0;384.15;1.9;384.15;1716209313.69;1;1.01
22.0;195.88;1.771;217.87;1716209331.64;1;1.24
21.0;273.52;1.7;320.43;1716209354.16;1;1.92
16.0;370.34;1.722;370.34;1716209369.0;1;1.0
20.0;139.59;1.65;517.97;1716209384.88;1;1.1
23.0;403.49;1.6;403.49;1716209399.77;1;1.0
20.0;91.74;1.55;91.74;1716209415.15;1;1.01
22.0;-475.54;1.508;161.59;1716209460.07;1;3.0
19.0;150.2;1.614;150.2;1716209474.96;1;1.0
22.0;125.57;1.573;126.48;1716209490.39;1;1.04
16.0;-39.51;1.537;64.53;1716209524.56;1;3.0
21.0;217.46;1.624;217.46;1716209538.92;1;1.0
22.0;83.58;1.589;83.58;1716209553.8;1;1.0
22.0;431.73;1.558;431.73;1716209569.2;1;1.02
19.0;127.31;1.53;127.31;1716209584.05;1;1.02
21.0;213.82;1.505;217.84;1716209599.96;1;1.11
16.0;-38.54;1.486;54.73;1716209627.53;1;2.72
23.0;47.8;1.539;49.49;1716209642.45;1;1.03
19.0;177.87;1.517;182.71;1716209664.43;1;1.8
24.0;-50.29;1.528;79.99;1716209697.2;1;3.0
21.0;136.99;1.585;145.7;1716209713.1;1;1.13
19.0;-169.83;1.567;173.69;1716209742.24;1;3.0
17.0;2.39;1.618;27.48;1716209770.32;1;2.91
21.0;-242.71;1.662;141.07;1716209805.09;1;3.0
17.0;229.95;1.707;229.95;1716209819.93;1;1.02
25.0;61.37;1.684;75.26;1716209836.9;1;1.16
18.0;52.29;1.669;63.64;1716209854.81;1;1.37
21.0;-91.83;1.661;76.02;1716209891.08;1;3.0
22.0;-22.31;1.7;123.51;1716209925.34;1;3.0
19.0;36.76;1.737;37.89;1716209943.23;1;1.31
24.0;15.57;1.725;191.77;1716209967.38;1;2.13
24.0;-123.49;1.735;104.44;1716210023.54;1;3.0
21.0;-82.41;1.768;94.51;1716210079.13;1;3.0
19.0;426.24;1.8;427.98;1716210094.51;1;1.04
21.0;28.66;1.78;73.16;1716210116.55;1;1.88
22.0;-69.34;1.783;76.52;1716210168.08;1;3.0
